City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,crane,31.3974,-102.3501,35.15,26,1,6.47,US,1724616761
303,la ronge,55.1001,-105.2842,14.14,77,100,10.29,CA,1724616762
304,pangkalanbuun,-2.6833,111.6167,22.53,99,81,0.61,ID,1724616764
305,siwa oasis,29.2041,25.5195,32.62,28,0,7.03,EG,1724616765
306,benjamin constant,-4.3831,-70.0311,28.07,74,40,3.6,BR,1724616767
307,minas de marcona,-15.2119,-75.1103,19.3,41,1,6.35,PE,1724616770
308,ulsteinvik,62.3432,5.8487,13.75,83,100,4.47,NO,1724616771
309,vila franca do campo,37.7167,-25.4333,24.23,68,100,0.5,PT,1724616772
310,caleta de carquin,-11.0925,-77.6267,19.34,76,42,4.65,PE,1724616774
311,al wajh,26.2455,36.4525,31.97,62,0,2.06,SA,1724616775
312,mana,5.6592,-53.7767,28.55,72,21,5.48,GF,1724616776
313,gizo,-8.103,156.8419,26.66,80,99,8.98,SB,1724616778
314,jayapura,-2.5333,140.7,25.66,96,100,2.3,ID,1724616779
315,kokopo,-4.352,152.2633,24.37,93,100,5.51,PG,1724616780
316,pierre,44.3683,-100.351,32.51,40,0,8.23,US,1724616781
317,mudgee,-32.5943,149.5871,9.41,90,8,2.58,AU,1724616782
318,esikhaleni,-28.871,31.8996,19.71,77,100,2.55,ZA,1724616784
319,abancay,-13.6339,-72.8814,24.58,32,97,4.61,PE,1724616785
320,dhing,26.4667,92.4667,27.11,88,99,2.27,IN,1724616786
321,qarah,34.1527,36.7415,22.27,55,0,0.44,SY,1724616787
322,dryden,49.7833,-92.7503,29.16,61,100,5.14,CA,1724616789
323,sur,22.5667,59.5289,30.6,60,100,5.08,OM,1724616790
324,nea kallikrateia,40.3167,23.0667,28.82,80,40,1.18,GR,1724616792
325,al ghayzah,16.2079,52.176,25.29,85,97,4.65,YE,1724616794
326,suva,-18.1416,178.4415,20.71,100,75,1.54,FJ,1724616795
327,kuqa,41.7278,82.9364,26.31,38,0,2.08,CN,1724616796
328,baruun-urt,46.6806,113.2792,13.88,66,6,1.73,MN,1724616797
329,smirnykh,49.75,142.8333,8.42,96,100,1.02,RU,1724616798
330,laguna,38.421,-121.4238,27.91,36,0,4.12,US,1724616800
331,cam ranh,11.9214,109.1591,27.98,74,40,0.51,VN,1724616801
332,mirnyy,62.5353,113.9611,9.74,86,32,1.9,RU,1724616802
